fen,result
r2q1rk1/1p1nbppp/p2pbn2/4p3/4P3/1NN1BB2/PPP2PPP/R2Q1RK1 w - - 8 11,0.0
r2qkb1r/1p1n1ppp/p3pnb1/3pN3/Q5PP/2N5/PP1PPPB1/R1B1K2R w KQkq - 0 11,1.0
r1bqr1k1/pppn1ppp/3p1n2/8/2B5/2P2N2/PPP2PPP/R1BQR1K1 w - - 4 11,1.0
r1bqr1k1/ppp1bppn/2n4p/3p4/3P3B/2PB1N2/PP1N1PPP/R2Q1RK1 w - - 4 11,1.0
r1b1kb1r/p1q2ppp/2p1pn2/1p2N3/8/3B4/PPPPQPPP/R1B1K2R w KQkq - 2 11,1.0
r2qk2r/1p2bppp/p1bppn2/6B1/4P3/2N5/PPPQ1PPP/1K1R1B1R w kq - 0 11,0.5
r3kbnr/pp3pp1/1qn1p3/3pP1Bp/2Pp3P/3Q1N2/PP1N1PP1/R3K2R w KQkq - 0 11,1.0
r2qk2r/p2nbppp/bpp1p3/3p4/2PP4/1P4P1/P2BPPBP/RN1Q1RK1 w kq - 0 11,0.5
1r1qkb1r/1p3ppp/p2pbn2/4p1B1/PnN1P3/2N5/1PP2PPP/R2QKB1R w KQk - 1 11,0.0
r4rk1/pp2ppbp/nq3np1/2pp4/3P4/2N1BbP1/PPP1PPBP/R1QR2K1 w - - 0 11,1.0
rnb2rk1/p3qpp1/2p1pn1p/1p6/2p5/P4NP1/PBQPPPBP/R2R2K1 w - - 2 11,1.0
r1b2rk1/pp2ppbp/2n3p1/q1p5/3P4/2P1PNP1/P4PBP/R1BQ1RK1 w - - 1 11,1.0
r2q1rk1/pbpn1ppp/1p2p3/3n4/3P4/2N2NP1/PP1QPPBP/R4RK1 w - - 4 11,1.0
r1bq1rk1/p1p2pp1/5n1p/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 w - - 0 11,1.0
r2q1rk1/1p1bppbp/p1np1np1/8/2PNP3/2N1BP2/PP1QB1PP/R3K2R w KQ - 0 11,0.5
r2q1rk1/2p1bppp/p1n2n2/1p1pp3/3PP1b1/1BP1BN2/PP3PPP/RN1QR1K1 w - - 0 11,0.5
r2qk2r/1p3ppp/p1nbpn2/3p4/3P1B2/2NQPN2/PP3PPP/R4RK1 w kq - 2 11,1.0
r3kb1r/pp1n1pp1/1qp4p/3p1b1n/3P3B/2N1P3/PP1QNPPP/R3KB1R w KQkq - 2 11,1.0
rnbqk2r/1p2bpp1/p2ppn2/7p/3NP3/2N1BP2/PPPQ2PP/R3KB1R w KQkq - 2 11,0.5
rn1q1r1k/pp2p1bp/4bnp1/3p1p2/1P1P4/1QNBPN2/PB3PPP/R3K2R w KQ - 2 11,0.5
r1bq1rk1/1p1nbpp1/p3pn1p/2p5/P1BP3B/2N1PN2/1P3PPP/2RQK2R w K - 0 11,0.5
r3k1nr/ppq2ppp/2n1p3/1BbpP3/8/2N2Q1P/PPPB1PP1/R3K2R w KQkq - 2 11,0.0
