fen,score_cp
"1k2r2r/1bqnb3/p7/1p1p1B2/4p1p1/P1P3P1/1P1NQB1P/4RRK1 b - - 0 29",133
"1k2r2r/1bqnb3/p7/1p1p1B2/4p1p1/P1P5/1P1NQBPP/4RRK1 w - - 0 29",1
"1k2r2r/1bqnb3/p7/1p1ppB2/6p1/P1P5/1P1NQBPP/4RRK1 b - - 1 28",237
"1k2r2r/1bqnbp1p/p7/1p1pP1p1/5P2/P1P1BN2/1PB1Q1PP/1R3RK1 w - - 0 23",317
"1k2r2r/1bqnbp2/p6p/1p1pP1P1/8/P1P1BN2/1PB1Q1PP/1R3RK1 w - - 0 24",310
"1k2r2r/1bqnbp2/p7/1p1pP1p1/8/P1P1BN2/1PB1Q1PP/4RRK1 w - - 0 25",211
"1k2r2r/1bqnbp2/p7/1p1pP3/3B2p1/P1P2N2/1PB1Q1PP/4RRK1 w - - 0 26",149
"1k2r2r/1bqnbppp/p7/1p1pP3/B4P2/P1P1BN2/1P2Q1PP/1R3RK1 w - - 0 22",209
"1k2r2r/1bqnbppp/pp6/3pP3/B4P2/P1P2N2/1P2Q1PP/1RB2RK1 w - - 0 21",301
"1k2r2r/pbq1bppp/1p3n2/3pP3/5P2/P1P5/1PBNQ1PP/1RB2RK1 w - - 1 19",193
"1k2r2r/pbq1bppp/1p3n2/3pP3/B4P2/P1P5/1P1NQ1PP/1RB2RK1 b - - 2 19",75
"1k2r2r/pbqnbppp/1p6/3pP3/B4P2/P1P5/1P1NQ1PP/1RB2RK1 w - - 3 20",236
"1k2r3/1p4b1/8/2Q5/PP6/8/2P5/1K6 w - - 1 48",438
"1k2r3/1p4r1/3b4/1Q6/8/1P6/P1P5/1K6 w - - 0 42",345
"1k2r3/1p6/8/2Q1b3/1P6/8/P1P5/1K6 w - - 3 47",453
"1k2r3/1pq4p/p1pQ1pp1/8/4P3/8/PPP2PPP/3R2K1 b - - 0 23",21
"1k2r3/1pq4p/p1pr1pp1/8/4PQ2/8/PPP2PPP/3R2K1 w - - 0 23",187
"1k2rb2/1p6/8/P1Q5/1P6/8/2P5/1K6 w - - 1 49",461
"1k2rb2/1r3ppp/b1qp4/2n1pPP1/4P3/PBQ5/1PP2B1P/1K1RR3 b - - 3 32",89
"1k2rb2/1r3ppp/b1qp4/Q1n1pPP1/4P3/PB6/1PP2B1P/1K1RR3 w - - 2 32",4
"1k2rb2/1r3ppp/b1qp4/Q3pPP1/n3P3/P7/BPP2B1P/1K1RR3 w - - 0 31",51
"1k2rb2/1r3ppp/b1qp4/Q3pPP1/n3P3/PB6/1PP2B1P/1K1RR3 b - - 1 31",93
"1k2rb2/1r3ppp/bnqp4/Q1n1pPP1/4P3/P1N5/BPP2B1P/1K1RR3 b - - 10 29",194
"1k2rb2/1r3ppp/bnqp4/Q3pPP1/N3P3/P7/BPP2B1P/1K1RR3 b - - 0 30",136
"1k2rb2/1r3ppp/bnqp4/Q3pPP1/n3P3/P1N5/BPP2B1P/1K1RR3 w - - 11 30",103
"1k2rb2/2r2ppp/b1qp4/2n1pPP1/4P3/PBQ5/1PP2B1P/1K1RR3 w - - 4 33",1
"1k2rb2/2r2ppp/b1qp4/2nBpPP1/4P3/P1Q5/1PP2B1P/1K1RR3 b - - 5 33",106
"1k2rb2/2r2ppp/b2p4/1qnBpPP1/4P3/P7/1PPQ1B1P/1K1RR3 b - - 7 34",120
"1k2rb2/2r3pp/3p4/2nBpPp1/1P2P3/3b4/1P3B1P/2KRR3 b - - 2 40",100000
"1k2rb2/2r3pp/3p4/2nBpPp1/1Pb1P3/8/1P3B1P/1K1RR3 b - - 0 39",294
"1k2rb2/2r3pp/3p4/2nBpPp1/1Qb1P3/Pq6/1P3B1P/1K1RR3 b - - 1 38",324
"1k2rb2/2r3pp/3p4/3BpPp1/1P2P3/1n1b4/1P3B1P/2KRR3 w - - 3 41",-100000
"1k2rb2/2r3pp/b2p1p2/1qnBpPP1/4P3/P7/1PPQ1B1P/1K1RR3 w - - 0 35",64
"1k2rb2/2r3pp/b2p1p2/1qnBpPP1/4P3/P7/KPPQ1B1P/3RR3 b - - 1 35",147
"1k2rb2/2r3pp/b2p4/1qnBpPp1/2P1P3/P7/KP1Q1B1P/3RR3 b - - 0 36",264
"1k2rb2/2r3pp/b2p4/2nBpPp1/2P1P3/Pq6/1P1Q1B1P/1K1RR3 b - - 2 37",249
"1k2rb2/3r1ppp/bnqp4/Q1n1pPP1/4P3/P1N3B1/BPP4P/1K1RR3 w - - 5 27",20
"1k2rb2/3r1ppp/bnqp4/Q1n1pPP1/4P3/P1N5/BPP2B1P/1K1RR3 b - - 6 27",47
"1k2rb2/r4ppp/bnqp4/2n1pPP1/1Q2P3/P1N5/BPP2B1P/1K1RR3 b - - 8 28",150
"1k3K2/1P3R2/P5r1/8/8/8/8/8 w - - 1 81",2
"1k3b2/1p6/1Q6/P7/1P6/8/2P5/1K2r3 w - - 3 50",449
"1k4nr/Nq1r2pp/Qp1bp3/2p3P1/8/2P1B3/PP3P2/2KR2R1 w - - 1 26",197
"1k4rr/1bq5/p3B3/1p1pn3/3Np3/P1P3P1/1P2Q2P/1R3RK1 b - - 2 35",58
"1k4rr/1bq5/p7/1p1pn3/3Np1B1/P1P3P1/1P2Q2P/1R3RK1 w - - 1 35",4
"1k5r/1b6/pq2B1r1/1p1pn3/3NpR2/P1P3P1/1P2Q2P/1R4K1 w - - 5 37",44
"1k5r/1b6/pq4r1/1p1pnB2/3NpR2/P1P3P1/1P2Q2P/1R4K1 b - - 6 37",39
"1k5r/1b6/pq5r/1p1p1B2/3Np3/P1P2nP1/1P2QR1P/1R4K1 w - - 9 39",119
"1k5r/1b6/pq5r/1p1p1B2/8/P1P2pP1/1P2QR1P/1R4K1 w - - 0 40",203
"1k5r/1b6/pq5r/1p1pQB2/8/P1P2pP1/1P3R1P/1R4K1 b - - 1 40",115
"1k5r/1b6/pq5r/1p1pnB2/3Np3/P1P3P1/1P2QR1P/1R4K1 b - - 8 38",43
"1k5r/1b6/pq5r/1p1pnB2/3NpR2/P1P3P1/1P2Q2P/1R4K1 w - - 7 38",9
"1k5r/1bq5/p3B1r1/1p1pn3/3Np3/P1P3P1/1P2Q2P/1R3RK1 w - - 3 36",28
"1k5r/1bq5/p3B1r1/1p1pn3/3NpR2/P1P3P1/1P2Q2P/1R4K1 b - - 4 36",68
"1k5r/1p1r1pp1/p3p3/3pP2p/3N1P1P/2P5/PP1b2P1/1K3RB1 b - - 0 24",35
"1k5r/1p1r1pp1/p3p3/3pP2p/3N1P1P/8/PPPb2P1/1K3RB1 w - - 0 24",20
"1k5r/1p1r2p1/p3pp2/3pP2p/3N1P1P/2P5/PP1b2P1/1K3RB1 w - - 0 25",216
"1k5r/1p1r2p1/p3pp2/3pP2p/5b1P/1NP5/PP4P1/1K3RB1 w - - 0 26",187
"1k5r/1p2r1p1/p3p3/2Np3p/4p2P/2P5/PP4P1/1K3RB1 w - - 0 29",158
"1k5r/1p2r1p1/p3p3/2Npp2p/5R1P/2P5/PP4P1/1K4B1 w - - 0 28",152
"1k5r/1p2r1p1/p3pp2/2NpP2p/5b1P/2P5/PP4P1/1K3RB1 w - - 2 27",134
"1k5r/1p4b1/pQ2p3/2N2pP1/2P2P2/P1p4p/1P5P/1KBr4 b - - 1 32",297
"1k5r/1p4b1/pQ2p3/5pP1/2P2P2/PNp4p/1P5P/1KBr4 w - - 0 32",275
"1k5r/1p4b1/pq2p3/1n1r1pP1/2Pp1P2/PN1R3p/1P3Q1P/1KBR4 b - c3 0 29",22
"1k5r/1p4b1/pq2p3/1n1r1pP1/3p1P2/PN1R3p/1PP2Q1P/1KBR4 w - - 12 29",259
"1k5r/1p4b1/pq2p3/3r1pP1/2P2P2/PNp4p/1P3Q1P/1KBR4 w - - 0 31",277
"1k5r/1p4b1/pq2p3/3r1pP1/2Pp1P2/PNnR3p/1P3Q1P/1KBR4 w - - 1 30",331
"1k5r/1pn3b1/pq2p3/3r1pP1/3p1P2/PN1R3p/1PP2Q1P/1KB1R3 w - - 10 28",216
"1k6/1p2r3/3b4/8/2Q5/1P6/P1P5/1K6 w - - 5 45",419
"1k6/1p2r3/8/4b3/1PQ5/8/P1P5/1K6 w - - 1 46",461
"1k6/1p4b1/1Q6/P7/1P6/8/K1P5/4r3 w - - 5 51",499
"1k6/3Q4/8/1B4q1/2P3n1/2P5/P1P3P1/5K2 w - - 2 63",403
"1k6/3b4/Ppp1p3/8/1K1PB3/2P5/2P5/8 w - - 1 41",44
"1k6/5Rp1/6P1/2pK2P1/3b4/8/8/8 w - - 5 62",337
"1k6/6R1/1p6/1P3p1P/1KP2Nb1/6r1/8/8 w - - 2 45",404
"1k6/6p1/1P5p/2K2B2/8/2b3P1/7P/8 w - - 1 48",4
"1kb1r3/2p1nppp/ppp4q/8/4PN2/2N3Q1/PPP2PPP/3R2K1 b - - 3 20",138
"1kbRr3/2p1nppp/ppp4q/8/4PN2/2N1Q3/PPP2PPP/5RK1 b - - 0 18",17
"1kbr3r/1p1nbppp/pq1pp3/2n3P1/3NP3/1BN1BP2/PPPQ3P/1K1R3R w - - 1 16",222
"1kbr3r/1p2bppp/pq1ppn2/2n5/3NP1P1/1BN1BP2/PPPQ3P/1K1R3R w - - 3 15",142
"1kbr3r/1pp1nppp/p1p3q1/2N5/4P3/2N1Q3/PPP2PPP/3R1RK1 b - - 11 15",38
"1kbr3r/1pqnbppp/p2pp3/2n3P1/3NPP2/1BN1B3/PPPQ3P/1K1R3R w - - 1 17",139
"1kbr3r/2p1nppp/ppp3q1/2N5/4P3/2N1Q3/PPP2PPP/3R1RK1 w - - 0 16",3
"1kbr3r/2p1nppp/ppp3q1/8/4P3/2NNQ3/PPP2PPP/3R1RK1 b - - 1 16",39
"1kbr3r/2qnbppp/p2pp3/1pn3P1/3NPP2/PBN1B3/1PPQ3P/1K1R3R w - - 0 18",211
"1kbr4/2p1nppp/ppp4q/8/4PN2/2N1Q3/PPP2PPP/3R2K1 b - - 1 19",75
"1kbrr3/2p1nppp/ppp3q1/8/4P3/2NNQ3/PPP2PPP/3R1RK1 w - - 2 17",8
"1kbrr3/2p1nppp/ppp3q1/8/4PN2/2N1Q3/PPP2PPP/3R1RK1 b - - 3 17",49
"1kr1R3/1p4r1/3b4/1Q6/8/1P6/P1P5/1K6 b - - 6 41",462
"1kr3r1/1p3p2/8/3Qb2q/8/1P6/P1P5/1K2RR2 w - - 0 37",236
"1kr3r1/1p3q2/8/3Qb3/8/1P6/P1P5/1K2R3 w - - 0 38",274
"1kr3r1/1pb2Q2/8/8/8/1P6/P1P5/1K2R3 w - - 1 39",433
"1kr3r1/1pb2p2/4b3/4B3/6p1/1PQB3P/P1P3q1/1K1R3R w - - 0 32",221
"1kr3r1/1pb2p2/4b3/4B3/6q1/1PQB4/P1P5/1K1R3R w - - 0 33",194
"1kr3r1/1pb2p2/8/4B2q/8/1P1Q4/P1P5/1K2RR2 w - - 1 36",232
"1kr3r1/1pb2p2/8/4B3/6q1/1PQb4/P1P5/1K2RR2 w - - 0 35",276
"1kr3r1/1pb2p2/8/4Bb2/6q1/1PQB4/P1P5/1K2R2R w - - 2 34",221
"1kr3r1/1pb2p2/B3b3/4B2p/6P1/1PQ4P/P1P3q1/1K1R3R w - - 5 31",199
"1kr5/1p4r1/3b4/1Q6/8/1P6/P1P5/1K2R3 w - - 5 41",376
"1kr5/1pb3r1/8/3Q4/8/1P6/P1P5/1K2R3 w - - 3 40",481
"1n1B2k1/p4pb1/1p2q1pp/1Br1p3/P3P3/1b3N2/1P2QPPP/R5K1 b - - 0 23",125
"1n1q1rk1/1r2bppp/3pb3/p3p3/Pp2PP2/1N2B1P1/1PP1Q1BP/2R2RK1 w - - 2 18",49
"1n1q1rk1/1r2bppp/p2pb3/4p3/Pp2P3/1N2B1P1/1PPQ1PBP/R4RK1 w - - 7 15",34
"1n1q1rk1/rp2bppp/p1p1p1b1/Pn6/3PP3/1QN5/1P1N1PPP/R1B1RBK1 w - - 1 15",99
"1n1q1rk1/rp2bppp/p1p1p3/P4b2/2BPn3/1QN1PN2/1P3PPP/R1B1R1K1 w - - 6 12",125
"1n1q1rk1/rp2bppp/p1p1pn2/P4b2/2BP4/1QN1PN2/1P3PPP/R1B2RK1 w - - 4 11",123
"1n1q1rk1/rp2bppp/p1pnp1b1/P7/3P4/1QN1P3/1P1N1PPP/R1B1RBK1 w - - 10 14",122
"1n1q1rk1/rp2bppp/p1pnp3/P4b2/2BP4/1QN1P3/1P1N1PPP/R1B1R1K1 w - - 8 13",126
"1n1qk2r/1r2bppp/p2pb3/4p3/Pp2P3/1N2B1P1/1PPQ1PBP/R3K2R w KQk - 5 14",45
"1n1qk2r/r3bppp/p2pb3/3Qp3/Pp2P3/1N2B1P1/1PP2PBP/R3K2R w KQk - 3 13",32
"1n1qk2r/r3bppp/p2pb3/4p3/Pp2P3/1N2B1P1/1PPQ1PBP/R3K2R b KQk - 4 13",5
"1n1qk2r/rB2ppbp/p5p1/2p1n3/2P5/2N1B1PP/PP3P2/R2QK2R w KQk - 1 14",154
"1n1qk2r/rB2ppbp/p5p1/2p1n3/Q1P5/2N1B1PP/PP3P2/R3K2R b KQk - 2 14",20
"1n1qk2r/rp2bppp/p1p1pn2/P4b2/2BP4/1QN1PN2/1P3PPP/R1B1K2R w KQk - 2 10",116
"1n1qkb1r/rp2pppp/p1p2n2/3p1b2/P1PP4/1QN1P3/1P3PPP/R1B1KBNR w KQk - 3 7",107
"1n1qkb1r/rp2pppp/p1p2n2/P4b2/2pP4/1QN1P3/1P3PPP/R1B1KBNR w KQk - 0 8",81
"1n1qkb1r/rp3ppp/p1p1pn2/P4b2/2BP4/1QN1P3/1P3PPP/R1B1K1NR w KQk - 0 9",124
"1n1rq1k1/ppr1pp2/2p1bnpb/N3N2p/3PP3/PP4PP/1BQ2P2/R2R1BK1 w - - 7 21",234
"1n2k2r/r2Q2bp/p3p1p1/2p1np2/2P1B3/2N1B1PP/PP3P2/R3K2R b KQk - 0 17",123
"1n2k2r/r2q1pbp/p3p1p1/2p1n3/Q1P1B3/2N1B1PP/PP3P2/R3K2R b KQk - 1 16",61
"1n2k2r/r2q1pbp/p3p1p1/2pBn3/Q1P5/2N1B1PP/PP3P2/R3K2R w KQk - 0 16",5
"1n2k2r/r2q2bp/p3p1p1/2p1np2/Q1P1B3/2N1B1PP/PP3P2/R3K2R w KQk - 0 17",7
"1n2k2r/r2qppbp/p5p1/2pBn3/Q1P5/2N1B1PP/PP3P2/R3K2R b KQk - 4 15",9
"1n2k2r/rB1qppbp/p5p1/2p1n3/Q1P5/2N1B1PP/PP3P2/R3K2R w KQk - 3 15",47
"1n3nk1/4qpp1/2p1p2p/1p1pP3/1P1P2P1/3P2NP/2RQ1P1K/r3N3 b - - 1 33",66
"1n3nk1/4qpp1/2p1p2p/1p1pP3/1P1P2P1/3P2NP/2RQ1P2/r3N1K1 w - - 0 33",123
"1n3nk1/4qpp1/2p1p2p/1p1pP3/rP1P2P1/3P2NP/2RQ1P2/R3N1K1 b - - 0 32",65
"1n3nk1/4qpp1/2p1p2p/1p1pP3/rP1P2P1/3P2NP/2RQ1P2/r1R1N1K1 w - - 9 32",9
"1n3rk1/1rq1bppp/2bp4/p3p3/Pp2PP2/1P2B1P1/2PNQ1BP/2RR2K1 w - - 1 21",113
"1n3rk1/1rq1bppp/3pb3/p3p3/Pp2PP2/1N2B1P1/1PP1Q1BP/2RR2K1 w - - 4 19",60
"1n3rk1/1rqbbppp/3p4/p3p3/Pp2PP2/4B1P1/1PPNQ1BP/2RR2K1 w - - 6 20",107
"1n3rk1/2r2ppp/p3p3/1p3qP1/3R1P1P/P3BQ2/1PP5/3R2K1 w - - 5 23",60
"1n3rk1/p4pb1/1p2q1pp/1Brbp3/7B/4PN2/PP2QPPP/R2R2K1 w - - 0 20",7
"1n3rk1/p4pb1/1p2q1pp/1Brbp3/P6B/4PN2/1P2QPPP/R2R2K1 b - - 0 20",99
"1n3rk1/r4ppp/p3p3/1p3qP1/3R1P1P/P3BQ2/1PP5/5RK1 w - - 3 22",37
"1n4k1/4Bpb1/pp4pp/1B2p3/P3P3/1b6/1P3PPP/4N1K1 w - - 0 28",41
"1n4k1/4Bpb1/pp4pp/4p3/P3P3/1b1B4/1P3PPP/4N1K1 b - - 1 28",13
"1n4k1/4Bpb1/pp4pp/4p3/b3P3/3B4/1P3PPP/4N1K1 w - - 0 29",72
"1n4k1/4qpp1/2p1p1np/1p1pP3/1P1P2P1/3P2NP/1R1Q1P1K/r3N3 b - - 3 34",104
"1n4k1/4qpp1/2p1p1np/1p1pP3/1P1P2P1/3P2NP/2RQ1P1K/r3N3 w - - 2 34",25
"1n4k1/5pb1/pp1B2pp/4p3/b3P3/3B4/1P3PPP/4N1K1 b - - 1 29",6
"1n4k1/p3Bpb1/1p4pp/1B2p3/P3P3/1b3N2/1P3PPP/2q1Q1K1 b - - 1 26",100
"1n4k1/p3Bpb1/1p4pp/1B2p3/P3P3/1b3N2/1P3PPP/4q1K1 w - - 0 27",23
"1n4k1/p3Bpb1/1p4pp/1B2p3/P3P3/1b6/1P3PPP/4N1K1 b - - 0 27",26
"1nb1q1k1/p1r1pp2/1pP2npb/N3N2p/4P3/PP4PP/1BQ2P2/3R1BK1 w - - 0 24",161
"1nb1q1k1/p1r2p2/1pP1pnpb/N3N2p/2B1P3/PP4PP/1BQ2P2/3R2K1 w - - 0 25",247
"1nb1q1k1/p1r2pb1/1pP1pnN1/N6p/2B1P3/PP4PP/1BQ2P2/3R2K1 w - - 1 26",434
"1nb1q1k1/p4pb1/1pr1pnN1/N3B2p/2B1P3/PP4PP/2Q2P2/3R2K1 w - - 0 27",446
"1nb1q1k1/ppr1pp2/2P2npb/N3N2p/4P3/PP4PP/1BQ2P2/R2r1BK1 w - - 0 23",236
"1nb2rk1/5ppp/r1P1p3/p1qn4/Q1N5/6P1/1P2PPBP/RN1R2K1 w - - 3 15",133
"1nb2rk1/5ppp/r1P1p3/p2n4/Q1Nq4/6P1/1P2PPBP/RN3RK1 w - - 1 14",133
"1nbq1rk1/1p3ppp/r1p1pn2/p3N3/PbpP4/2B3P1/1P2PPBP/RN1Q1RK1 b - - 1 10",66
"1nbq1rk1/1p3ppp/r1p1pn2/p7/PbpP4/2B2NP1/1P2PPBP/RN1Q1RK1 w - - 0 10",16
"1nbq1rk1/1pp2ppp/r3pn2/p7/PbpP4/2B2NP1/1P2PPBP/RN1Q1RK1 b - - 0 9",2
"1nbq1rk1/4bppp/r1p1p3/pp2N3/P1pPP3/2P3P1/2QN1PBP/R4RK1 b - - 2 14",95
"1nbq1rk1/5ppp/r1p1p3/pp1nN3/PbpPP3/2B3P1/1PQ2PBP/RN3RK1 b - - 0 12",116
"1nbq1rk1/5ppp/r1p1p3/pp2N3/PbpPP3/2P3P1/2Q2PBP/RN3RK1 b - - 0 13",98
"1nbq1rk1/5ppp/r1p1pn2/pp2N3/PbpP4/2B3P1/1PQ1PPBP/RN3RK1 b - - 1 11",82
"1nbqk2r/r3bppp/p2p4/3Qp3/Pp2P3/1N4P1/1PP2PBP/R1B1K2R w KQk - 1 12",19
"1nbrq1k1/ppr1pp2/2p2npb/N2PN2p/4P3/PP4PP/1BQ2P2/R2R1BK1 w - - 1 22",236
"1nk4r/R1p1q1p1/1p2p2p/1P1rPp1b/2B5/1Np1Q3/2P2PPP/5RK1 w - - 4 26",451
"1nk4r/R1p1q1p1/1p5p/1P1pP2b/3N1p2/2p1Q3/2P2PPP/5RK1 w - - 0 28",548
"1nk4r/R1p1q1p1/1p5p/1P1pPp1b/8/1Np1Q3/2P2PPP/5RK1 w - - 0 27",523
"1nkr3r/R1p1q1p1/1p2p2p/1P2Pp1b/8/1NpBQ3/2P2PPP/5RK1 w - - 2 25",289
"1nkr3r/p1pbq1p1/1p2p2p/1P2Pp2/P7/1NpBQ3/2P2PPP/R4RK1 w - - 0 22",210
"1nkr3r/pppbq1p1/1b2p2p/1P2Pp2/P2p4/3B1N2/2P1QPPP/R1B2RK1 w - f6 0 17",179
"1nkr3r/pppbq1p1/4p2p/1P2Pp2/P2p4/1NbB4/1BP1QPPP/R4RK1 w - - 6 20",202
"1nkr3r/pppbq1p1/4p2p/1P2Pp2/P7/1NpB4/2P1QPPP/R4RK1 w - - 0 21",237
"1nkr3r/pppbq1p1/4p2p/1P2Pp2/Pb1p4/1N1B4/2P1QPPP/R1B2RK1 w - - 4 19",228
"1nkr3r/pppbq1p1/4p2p/1Pb1Pp2/P2p4/3B4/2PNQPPP/R1B2RK1 w - - 2 18",181
"1nkr3r/pppbqpp1/1b2p2p/1P2P3/3p4/P2B1N2/2P1QPPP/R1B2RK1 w - - 1 16",144
"1nkrb2r/2p1q1p1/1p2p2p/1P2Pp2/8/1NpBQ3/2P2PPP/R4RK1 w - - 0 24",237
"1nkrb2r/p1p1q1p1/1p2p2p/PP2Pp2/8/1NpBQ3/2P2PPP/R4RK1 w - - 1 23",259
"1nq3k1/p3Bpb1/1p4pp/1B2p3/P3P3/1b3N2/1P2QPPP/2R3K1 b - - 0 25",91
"1nq3k1/p3Bpb1/1p4pp/1Br1p3/P3P3/1b3N2/1P2QPPP/R5K1 b - - 2 24",41
"1nr1k2r/1b2qpb1/p3p1pp/2ppP3/7P/PP1B1NQ1/2PB1PP1/4RRK1 w k - 1 18",150
"1nr1k2r/1b2qpb1/p3p2p/2ppP1pP/8/PP1B1NQ1/2PB1PP1/4RRK1 w k - 0 19",119
"1nr2rk1/p4pb1/1p2q1pp/1BNbp3/7B/4PN2/PP2QPPP/R2R2K1 b - - 0 19",27
"1nr2rk1/pb3pb1/1p2q1pp/1BnPp3/7B/1N2PN2/PP2QPPP/R2R2K1 b - - 0 18",16
"1nr2rk1/pb3pbp/1p2q1p1/1Bnpp3/2P4B/1N2PN2/PP2QPPP/R2R2K1 b - - 0 17",10
"1nr3k1/1q2bpp1/p3p1p1/3p4/Np1PP3/1P1B1PP1/P3Q2P/1K5R b - - 0 25",36
"1nr3k1/1q2bpp1/p3p1p1/3p4/Np1PP3/3B1PP1/PP2Q2P/1K5R w - - 2 25",3
"1nr3k1/1q2bpp1/p3p1p1/8/Np1PB3/1P3PP1/P3Q2P/1K5R b - - 0 26",40
"1nr3k1/p4pb1/1p2q1pp/1Brbp3/P3P2B/5N2/1P2QPPP/R2R2K1 b - - 0 21",114
"1nr3k1/q3bpp1/p3p1p1/8/Np1PB3/1P3PP1/P3Q2P/1K1R4 b - - 2 27",44
"1nr3k1/q3bpp1/p3p1p1/8/Np1PB3/1P3PP1/P3Q2P/1K5R w - - 1 27",2
"1nr3k1/q4pp1/p3pbp1/3P4/Np2B3/1P3PP1/P3Q2P/1K1R4 b - - 0 28",33
"1nr3k1/q4pp1/p3pbp1/8/Np1PB3/1P3PP1/P3Q2P/1K1R4 w - - 3 28",70
"1nr3k1/q4pp1/p4bp1/3B4/Np6/1P3PP1/P3Q2P/1K1R4 b - - 0 29",65
"1nr4r/p2q2k1/1b3p2/3ppbp1/6B1/3NP2P/P2B1PP1/2RQ1RK1 b - - 2 24",59
"1nr4r/p2q2k1/5p2/2bppbp1/6B1/4P2P/P2B1PP1/2RQNRK1 b - - 0 23",88
"1nrR2k1/p4pb1/1p2q1pp/1Br1p3/P3P2B/1b3N2/1P2QPPP/R5K1 b - - 2 22",104
"1nrq3r/p3bk2/1p3p2/1BPppbpp/1P6/4P3/P2B1PPP/2RQNRK1 w - - 2 19",74
"1nrq3r/p3bk2/1p3p2/2Pppbpp/1P6/4P3/P2BBPPP/2RQNRK1 b - - 3 19",5
"1nrq3r/p4k2/5p2/2bppbpB/8/4P3/P2B1PPP/2RQNRK1 b - - 0 21",41
"1nrq3r/p4k2/5p2/2bppbpp/8/4P3/P2BBPPP/2RQNRK1 w - - 0 21",44
"1nrq3r/p5k1/5p2/2bppbp1/6B1/4P3/P2B1PPP/2RQNRK1 b - - 2 22",30
"1q1r1k2/8/2n2p1p/7Q/1p6/1PrN3P/P1P5/1K4R1 b - - 3 40",2
"1q1r1k2/8/2n2p1p/Q7/1p6/1PrN3P/P1P5/1K4R1 w - - 2 40",45
"1q1r2k1/1R3pp1/1p1rbn1p/p3Q3/2P5/1P1p2PP/P2N1PBK/4R3 b - - 13 34",21
"1q1r2k1/4R1p1/5p1p/Q7/1p1n4/1PrN3P/P1P5/1KR5 b - - 3 37",313
"1q1r2k1/6R1/2n2p1p/Q7/1p6/1PrN3P/P1P5/1KR5 b - - 0 38",152
"1q1r2k1/6p1/4Pp1p/Q7/1p1n4/1PrN3P/P1PR4/1KR5 b - - 0 35",17
"1q1r2k1/6p1/4Pp1p/p2Q4/1p1n4/1PrN3P/P1PR4/1KR5 w - - 1 35",126
"1q1r2k1/6p1/4np1p/Q7/1p6/1PrN3P/P1P1R3/1KR5 b - - 1 36",100
"1q1r2k1/6p1/4np1p/Q7/1p6/1PrN3P/P1PR4/1KR5 w - - 0 36",132
"1q1r2k1/6p1/5p1p/Q7/1p1n4/1PrN3P/P1P1R3/1KR5 w - - 2 37",47
"1q1r2k1/R4pp1/1p1rbn1p/p3Q3/2P5/1P1p2PP/P2N1PBK/4R3 w - - 12 34",45
"1q1r4/6k1/2n2p1p/Q7/1p6/1PrN3P/P1P5/1K4R1 b - - 1 39",40
"1q1r4/6k1/2n2p1p/Q7/1p6/1PrN3P/P1P5/1KR5 w - - 0 39",467
"1q2b3/1r4pk/4p2p/1PRp1p2/3P4/Q3P2P/4BPP1/6K1 b - - 0 37",3
"1q2b3/1r4pk/4p2p/1PRp1p2/3P4/r3P2P/1Q2BPP1/6K1 w - - 0 37",113
"1q2k2r/3b1ppp/3bp3/1p1n4/1npPN3/5NP1/1P1QPPBP/2B2RK1 w k - 6 17",116
"1q2r1k1/2pQ1pp1/2p1P2p/3b4/1r1P4/4RN1P/5PP1/2R3K1 b - - 0 29",16
"1q2r1k1/5p1p/4b1p1/2RnP3/8/5P2/5NPP/2Q2BK1 w - - 3 38",40
"1q3bk1/pb1npp2/1p4p1/3P3p/4P3/Q2BBN1P/P4PP1/6K1 w - - 10 31",98
"1q3bk1/pb1npp2/1p4p1/3P3p/4P3/Q2BBN1P/P4PP1/6K1 w - - 2 27",90
"1q3bk1/pb1npp2/1p4p1/3P3p/4P3/Q2BBN1P/P4PP1/6K1 w - - 6 29",99
"1q3k2/8/2n2p1Q/8/1p6/1Prr3P/P1P5/1K4R1 b - - 0 41",72
"1q3k2/8/2n2p1p/7Q/1p6/1Prr3P/P1P5/1K4R1 w - - 0 41",20
"1q3nk1/5pbp/2Q1n1p1/1p2p3/1N4P1/1PP4P/1B3PB1/6K1 w - - 5 39",45
"1q3nk1/5pbp/2Q3p1/1p2p3/1N3nP1/1PP4P/1B3P2/5BK1 w - - 7 40",51
"1q3r1k/4bppp/rp2p3/p1pn4/P1N5/3P2P1/1P1BPPQP/R2R2K1 w - - 8 29",52
"1q3rk1/1p3ppp/p2pb3/3N2b1/P1BRP3/1P3Q2/2r2PPP/3R2K1 w - - 0 21",154
"1q3rk1/1p3ppp/p2pb3/3N2b1/PQBRP3/1P6/5PPP/6K1 w - - 4 26",90
"1q3rk1/1r2bpp1/4p2p/pPp1R3/1nN1Q3/3P2P1/1P3P1P/R1B3K1 b - - 6 23",145
"1q3rk1/1r2bpp1/4p2p/pPpnR3/4Q3/3P2P1/1P1N1P1P/R1B3K1 b - - 4 22",213
"1q3rk1/2r1bpp1/p2p3p/1p2p3/P3P3/1B1R3P/1PP1QPP1/3R2K1 w - - 0 28",145
"1q3rk1/2r1bpp1/pp1p3p/4p3/P3P3/1B1RQ2P/1PP2PP1/3R2K1 w - - 7 27",149
