fen,score_cp
"1R2r1k1/6p1/7p/4Pp2/4n3/P4N1P/3B1PP1/6K1 b - - 0 37",113
"1R2r3/4r1p1/5pk1/p1Np1b1p/3P3P/1R3PP1/P2K4/8 w - - 7 36",87
"1R3rk1/2pb1p1p/2p5/2b5/2P5/8/P2KB1PP/7R w - - 0 24",409
"1R4B1/8/8/1pk5/2n1K3/6r1/8/8 w - - 14 51",56
"1R4B1/8/6r1/1pk5/2n1K3/8/8/8 b - - 13 50",24
"1R4R1/8/5p2/2p5/2k3P1/p5r1/KP3r2/8 b - - 1 56",161
"1R4k1/7R/4p2K/p2pP3/6rp/4P3/6P1/3b1B2 b - - 0 51",-100000
"1R5k/R7/8/8/8/8/8/6K1 b - - 0 1",-100000
"1R4k1/7p/3np3/4p3/1P1r2p1/4K3/6PP/4N3 b - - 5 34",30
"1R6/1P4k1/5p2/1r3K2/8/7P/6P1/8 w - - 5 55",328
"1R6/1P2k3/4p3/p2pP3/b6p/4PK2/r5P1/5B2 w - - 0 46",308
"1R6/1P4k1/5p2/1r3K2/8/7P/6P1/8 w - - 5 55",328
"1R6/2n3p1/2k1pp1p/8/P2P4/1Nr3P1/5PKP/8 w - - 5 45",168
"1R6/2n3p1/2k1pp1p/P7/2rP4/1N4P1/5PKP/8 w - - 1 46",143
"1R6/2p5/p4p2/2k2Nr1/5KP1/P7/8/8 w - - 9 56",459
"1R6/3K1B2/8/1k6/1p1n4/2r5/8/8 b - - 29 74",5
"1R6/3K1B2/1k6/8/1p1n4/2r5/8/8 b - - 33 76",10
"1R6/3K1B2/8/1k6/1p1n4/2r5/8/8 b - - 37 78",5
"1R6/3R1nk1/2r3p1/1p5p/pB6/1b6/5P1P/6K1 b - - 1 37",487
"1R6/3R1n2/5kp1/1p5p/pBb4P/8/5PK1/2r5 w - - 1 40",52
"1R6/3R1nk1/6p1/1p5p/pB6/1b6/5P1P/2r3K1 w - - 2 38",44
"1R6/3k1p1p/5Pp1/4P1P1/8/1P5P/6K1/4r3 w - - 9 48",301
"1R6/3bk3/1P2p3/p2pP3/P6p/4PK2/r5P1/5B2 w - - 9 45",232
"1R6/3R1nk1/6p1/1p5p/pBb5/8/5PKP/2r5 w - - 4 39",98
"1R6/3r1bpk/q3p2p/4Pp2/P4P2/6PP/2Q3BK/8 w - - 1 40",138
"1R6/3r1ppk/q3p1bp/8/P3PP2/6PP/Q5BK/8 w - - 1 38",70
"1R6/3r2pk/q3p1bp/5p2/P3PP2/6PP/2Q3BK/8 w - - 0 39",138
"1R6/4bkp1/3q3p/3Pp3/1p3pP1/3P1Q1P/1B3P2/6K1 b - - 0 35",18
"1R6/4KB2/8/1pk5/2n5/5r2/8/8 b - - 27 57",36
"1R6/4npkp/1P4p1/p2p4/3N1P2/4P3/r4PKP/8 w - - 0 32",485
"1R6/4npkp/6p1/pP1p4/3N1P2/4P3/P4PKP/r7 w - - 5 31",275
"1R6/5B2/4K3/1pk5/8/5r2/3n4/8 b - - 21 54",14
"1R6/5B2/4K3/1pk5/8/5r2/3n4/8 b - - 25 56",15
"1R6/5B2/8/1pk2K2/8/4r3/3n4/8 b - - 19 53",24
"1R6/5B2/8/1pk1K3/8/6r1/3n4/8 b - - 17 52",47
"1R6/5B2/8/1pk2K2/8/4r3/3n4/8 b - - 23 55",25
"1R6/5B2/8/1pk5/2n1K3/6r1/8/8 b - - 15 51",24
"1R6/5bpk/P1pB1p2/2P2K2/5P2/P7/8/4r3 w - - 4 55",168
"1R6/5bpk/P1pB1p2/2P5/5PK1/P3r3/8/8 w - - 6 56",283
"1R6/5k1p/3np3/4p3/1P1r2p1/3NK3/6PP/8 b - - 7 35",59
"1R6/5k1p/4p3/4p3/1Pnr2p1/3N4/4K1PP/8 b - - 9 36",103
"1R6/5k1p/4p3/8/1Pn1pNp1/8/3r2PP/4K3 b - - 3 38",94
"1R6/5k1p/4p3/8/1Pn2Np1/4p3/3r2PP/4K3 w - - 0 39",451
"1R6/5k1p/4p3/8/1Pnrp1p1/3N4/4K1PP/8 w - - 0 37",386
"1R6/5k1p/4p3/8/1PnrpNp1/8/4K1PP/8 b - - 1 37",167
"1R6/5k1p/4p3/p3P3/1p3K2/4P3/P1r4P/8 b - - 1 45",240
"1R6/5k1p/4p3/pp2P3/8/4P1K1/P1r4P/8 b - - 3 44",215
"1R6/5k1p/4p3/p3P3/1p6/4P1K1/P1r4P/8 w - - 0 45",638
"1R6/5kpp/8/2p1p1P1/4P3/1p3K2/2b5/8 b - - 3 52",338
"1R6/5kpp/8/4p1P1/2p1P3/1p2K3/2b5/8 b - - 1 53",339
"1R6/5r2/8/8/8/4K3/6p1/6k1 b - - 9 71",460
"1R6/8/1k6/3K4/1p5r/8/8/8 b - - 1 70",427
"1R6/8/2b5/1p2n3/2pk4/P7/1P1K4/8 b - - 4 54",48
"1R6/8/2p2pR1/2k5/6P1/p5r1/1P3r2/K7 b - - 3 54",226
"1R6/8/3B4/8/2k1K3/1r6/8/8 w - - 5 79",13
"1R6/8/2p2pR1/8/2k3P1/p5r1/KP3r2/8 b - - 5 55",206
"1R6/8/8/1k1K4/1p5r/8/8/8 b - - 5 72",392
"1R6/8/8/3r4/8/1kp1K3/8/8 b - - 1 70",442
"1R6/8/8/2K5/kp5r/8/8/8 b - - 7 73",423
"1R6/8/8/4k3/8/4p3/7r/4K3 w - - 2 84",3
"1R6/8/8/3r4/8/2p1K3/8/2k5 b - - 5 72",519
"1R6/8/8/8/2k1KB2/2r5/8/8 w - - 3 78",9
"1R6/8/8/8/5k2/4p3/7r/4K3 b - - 1 83",1
"1R6/8/8/k2KB2r/8/8/8/8 w - - 15 84",24
"1R6/P5pk/2pB1p2/2P5/2b2PK1/P3r3/8/8 w - - 1 57",290
"1R6/P6k/2pB1p2/2P2Pp1/2b3K1/P3r3/8/8 w - g6 0 58",538
"1R6/P7/2pB1pk1/2P5/2b3K1/P3r3/8/8 w - - 0 59",303
"1R6/p4kp1/1b1r1p1p/1pn5/7P/P1B2P2/1PB2P2/5K2 w - - 2 44",40
"1Rb1r3/3q1pk1/r3p1p1/p1R4p/3P3P/4Q1P1/P4PB1/6K1 w - - 3 30",427
"1Rb1r3/5pk1/r5p1/p1R1P2p/7P/2Q3P1/P4PB1/3q2K1 w - - 1 32",407
"1Rb1r3/3q1pk1/r5p1/p1R1p2p/3P3P/2Q3P1/P4PB1/6K1 w - - 0 31",419
"1Rb2rk1/2p2p1p/2pP4/2b5/2P5/8/P2KB1PP/7R w - - 2 23",547
"1Rr3k1/3q1p1p/2b3p1/p2pP3/P2Q1RP1/4N3/2P4P/6K1 b - - 0 31",46
"1b1r2k1/1p3pp1/2q4p/1P1b4/6P1/7P/1BB1QP2/1K2R3 b - - 0 30",28
"1b1r2k1/1p3pp1/2q4p/3b4/1P4P1/7P/1BB1QP2/1K2R3 w - - 3 30",87
"1b1r2k1/pp3ppp/4r1n1/4p3/3pP1n1/1P1P1QP1/PB1N1P1q/1R1RNK2 b - - 7 25",597
"1b1r2k1/pp3ppp/4r1n1/4p3/3pP1n1/1P1P1QPq/PB1N1P2/1R1RN1K1 b - - 5 24",667
"1b1r4/p2qk1pp/1p3p2/2pPp3/8/N2Q2P1/PP3P1P/3R2K1 b - - 4 27",80
"1b1r3r/p3k1pp/Qpq2p2/2pRp3/4P3/6P1/PP1N1P1P/3R2K1 w - - 4 24",37
"1b1r4/p2qk2p/1p3pp1/2pPp3/2N5/3Q2P1/PP3P1P/3R2K1 b - - 1 28",70
"1b1rr1k1/pp1q1ppp/5nn1/3pp3/4P3/NP1P2PP/PB2QPN1/1R1R2K1 b - - 2 20",276
"1b1rr1k1/pp2qppp/5nn1/1N1pp3/4P3/1P1P2PP/PB2QPN1/1R1R2K1 b - - 0 19",220
"1b1rr1k1/pp3ppp/5nn1/3pp3/4P3/NP1P1QPq/PB3PN1/1R1R2K1 b - - 1 21",316
"1b1rr1k1/pp3ppp/5nn1/4p3/2NpP3/1P1P1QPq/PB3PN1/1R1R2K1 b - - 1 22",264
"1b1rr1k1/pp3ppp/6n1/4p3/3pP1n1/1P1P1QPq/PB1N1PN1/1R1R2K1 b - - 3 23",368
"1b2r1k1/1q3pp1/5n1p/1P1P4/3Q4/1bN2N2/1B3PPP/2R3K1 w - - 1 33",194
"1b2r1k1/3q1pp1/5n1p/3P4/1P1Q4/1bN2N2/1B3PPP/2R3K1 w - - 2 32",164
"1b3rnk/2p2q2/5r1p/p1R1B1p1/3p3R/P2B2P1/3Q1P2/6K1 w - - 0 40",464
"1b3rnk/2p2qp1/1r5p/p7/3p1B1R/P2B2P1/3Q1P2/2R3K1 w - - 12 38",105
"1b3rnk/2p2qp1/5r1p/p1R1B3/3p3R/P2B2P1/3Q1P2/6K1 b - - 15 39",42
"1b3rnk/2p2qp1/5r1p/p1R5/3p1B1R/P2B2P1/3Q1P2/6K1 w - - 14 39",198
"1b5r/p2qk1pp/Qp3p2/2pPp3/8/N5P1/PP3P1P/3R2K1 b - - 2 26",70
"1b5r/p2qk1pp/Qp3p2/2pPp3/2N5/6P1/PP3P1P/3R2K1 w - - 1 26",22
"1b5r/p3k1pp/Qpq2p2/2pPp3/2N5/6P1/PP3P1P/3R2K1 b - - 0 25",9
"1b5r/p3k1pp/Qpq2p2/2prp3/2N1P3/6P1/PP3P1P/3R2K1 w - - 0 25",31
"1bq1r1k1/1p3pp1/7p/1P1b4/6P1/7P/1BB1QP2/1K1R4 w - - 3 32",34
"1bq1r1k1/1p3pp1/7p/1P6/4b1P1/7P/1BBQ1P2/1K1R4 w - - 5 33",44
"1bq3k1/1p3pp1/7p/1P6/4r1P1/7P/1B1Q1P2/1K1R4 w - - 0 34",81
"1bqQr1k1/1p3pp1/7p/1P6/6P1/7P/1B3P2/1K1R4 w - - 2 35",15
"1bqr2k1/1p3pp1/7p/1P1b4/6P1/7P/1BB1QP2/1K1R4 b - - 2 31",16
"1bqr2k1/1p3pp1/7p/1P1b4/6P1/7P/1BB1QP2/1K2R3 w - - 1 31",76
"1br3k1/1p3pp1/7p/1P6/6P1/7P/1B3P2/1K1R4 w - - 0 36",145
"1k1R4/1p5p/4N3/r5P1/P1P1P3/2r5/6K1/8 b - - 7 43",209
"1k1r1n1r/ppq1b1p1/2p1p1p1/2P2p2/3Pp1P1/1QB1P2P/PP3PB1/2KR3R w - - 3 19",105
"1k1r3r/1bqnbppp/p2pp3/1pn3P1/3NPP2/PBN1B3/1PPQ3P/1K1RR3 w - - 2 19",145
"1k1r2r1/1pb2p2/B3b3/7p/3B2P1/1PQ4P/P1P3q1/1K1R3R w - - 3 30",237
"1k1r3r/1p1R1pp1/p3p3/3pP2p/3N1P1P/8/PPPb2P1/1K3RB1 b - - 0 23",51
"1k1r3r/1p1b1p2/p2ppp2/2q4n/4PP1P/2N4R/PPPQ4/1K1R1B2 w - - 5 19",118
"1k1r3r/1p1bbppp/pq1ppn2/2n3B1/3NP1P1/1BN2P2/PPPQ3P/1K1R3R w - - 1 14",129
"1k1r3r/1p1q3p/p1pp1pp1/8/4P3/3RQ3/PPP2PPP/5RK1 w - - 0 20",17
"1k1r3r/1p3p2/p1bppp2/2q4n/4PP1P/2NR4/PPPQ4/1K1R1B2 w - - 7 20",95
"1k1r3r/1p3p2/p2bb2p/3q4/8/2QB3P/PPP2BP1/1K1R3R w - - 9 26",171
"1k1r3r/1p4b1/p1q1p3/3n1pP1/3p1P2/P6p/1PPB1Q1P/1KNRR3 w - - 4 25",28
"1k1r3r/1pRn1pp1/p3p3/3pP2p/1b1N1P1P/8/PPPQ2P1/1K3RB1 b - - 0 22",43
"1k1r3r/1pb2p2/B3b3/7p/6P1/1PQ4P/P1P2Bq1/1K1R3R w - - 1 29",253
"1k1r3r/1pb2p2/p3b2p/3q4/8/1PQB3P/P1P2BP1/1K1R3R w - - 1 27",164
"1k1r3r/1pb2p2/p3b3/3q3p/6P1/1PQB3P/P1P2B2/1K1R3R w - - 0 28",207
"1k1r3r/1pn3b1/p1q1p3/5pP1/3p1P2/PN5p/1PPB1Q1P/1K1RR3 w - - 6 26",121
"1k1r3r/1pn3b1/pq2p3/5pP1/3p1P2/PN5p/1PP2Q1P/1KBRR3 w - - 8 27",152
"1k1r3r/1ppbnppp/p1p3q1/2N5/4P3/2N1Q3/PPP2PPP/R4RK1 b - - 9 14",34
"1k1r3r/1ppbnppp/p1p3q1/8/4P3/1NN1Q3/PPP2PPP/R4RK1 w - - 8 14",10
"1k1r3r/1ppq2pp/p1pb1p2/5N2/4P3/4Q3/PPP2PPP/3R1RK1 w - - 1 18",30
"1k1r3r/1ppq3p/p1pb1pp1/5N2/4P3/3RQ3/PPP2PPP/5RK1 w - - 0 19",43
"1k1r3r/1pq4p/p1pp1pp1/8/4P3/3RQ3/PPP2PPP/3R2K1 w - - 2 21",158
"1k1r3r/1pqn1pp1/p3p3/2bpP2p/3N1P1P/2R5/PPPQ2P1/1K3RB1 b - - 3 21",19
"1k1r3r/1pqn1pp1/p3p3/2bpP2p/3N1P1P/7R/PPPQ2P1/1K3RB1 w - - 2 21",54
"1k1r3r/1pqn1pp1/p3p3/3pP2p/1b1N1P1P/2R5/PPPQ2P1/1K3RB1 w - - 4 22",25
"1k1r3r/pp1nb1p1/1qp1p1p1/5p2/Q1PPp1P1/2B1P2P/PP3PB1/2KR3R w - - 8 17",87
"1k1r3r/ppqnb1p1/2p1p1p1/2P2p2/Q2Pp1P1/2B1P2P/PP3PB1/2KR3R w - - 1 18",75
"1k1rr3/1bq1bppp/pn1pp3/1pn3P1/3NPP2/P1N5/BPPQ1B1P/1K1RR3 w - - 6 21",169
"1k1rr3/1bqnbppp/p2pp3/1pn3P1/3NPP2/PBN5/1PPQ1B1P/1K1RR3 w - - 4 20",152
"1k1rr3/1pq4p/p1pp1pp1/8/4PQ2/3R4/PPP2PPP/3R2K1 w - - 4 22",170
"1k1rrb2/1b3ppp/1nqp4/1Nn1pPP1/4P3/P5B1/BPPQ3P/1K1RR3 w - - 1 25",8
"1k1rrb2/1b3ppp/1nqp4/QNn1pPP1/4P3/P5B1/BPP4P/1K1RR3 b - - 2 25",28
"1k1rrb2/1bq2ppp/1n1p4/1Nn1pPP1/4P3/P5B1/BPPQ3P/1K1RR3 b - - 0 24",74
"1k1rrb2/1bq2ppp/1n1p4/1pn1pPP1/4P3/P1N3B1/BPPQ3P/1K1RR3 w - - 0 24",55
"1k1rrb2/1bq2ppp/pn1p4/1Nn1pPP1/4P3/P1N3B1/BPPQ3P/1K1RR3 b - - 0 23",17
"1k1rrb2/1bq2ppp/pn1p4/1pn1pPP1/3NP3/P1N3B1/BPPQ3P/1K1RR3 w - - 0 23",195
"1k1rrb2/1bq2ppp/pn1pp3/1pn2PP1/3NP3/P1N5/BPPQ1B1P/1K1RR3 w - - 1 22",216
"1k1rrb2/5ppp/bnqp4/Q1n1pPP1/4P3/P1N3B1/BPP4P/1K1RR3 b - - 4 26",51
"1k1rrb2/5ppp/bnqp4/QNn1pPP1/4P3/P5B1/BPP4P/1K1RR3 w - - 3 26",1
"1k2q2r/1r1n4/bp1p1p2/p1pPp1pp/P1P1P3/1RPBB1PP/4QP1K/1R6 b - - 9 30",95
"1k2r2r/1bq1b3/p7/1p1p1B2/3Bp1p1/P1Pn2P1/1P1NQ2P/1R3RK1 b - - 4 31",103
"1k2r2r/1bq1b3/p7/1pnp1B2/3Bp1p1/P1P3P1/1P1NQ2P/4RRK1 b - - 2 30",151
"1k2r2r/1bq5/p7/1p1p1B2/3Np1p1/P1Pn2P1/1P2Q2P/1R3RK1 b - - 0 33",71
"1k2r2r/1bq5/p7/1p1p1B2/3bp1p1/PNPn2P1/1P2Q2P/1R3RK1 w - - 0 33",4
"1k2r2r/1bq5/p7/1p1pn3/3Np1B1/P1P3P1/1P2Q2P/1R3RK1 b - - 0 34",54
"1k2r2r/1bq5/p7/1pbp1B2/3Bp1p1/PNPn2P1/1P2Q2P/1R3RK1 b - - 6 32",110
"1k2r2r/1bqnb3/p4p2/1p1pP3/3B2p1/P1P5/1PBNQ1PP/4RRK1 w - - 0 27",48
"1k2r2r/1bqnb3/p4p2/1p1pPB2/3B2p1/P1P5/1P1NQ1PP/4RRK1 b - - 1 27",90
